Mosquitoes,Location_effect,Forest_ratio,Lag_rain,Lag_temp,Bi-month_rain,Bi-month_temp,NDVI,Population,Bi-month_rain_center,Bi-month_rain_power,Rice_ratio,Water_ratio
0,1,0.0078125,74.3316803,35.14384842,33.90945053,31.58593559,0.084007338,81.10993195,-2.790549517,7.787166119,0.03515625,0.20703125
9,1,0.0078125,74.3316803,35.16732407,33.90945053,31.59118462,0.083938107,90.9103241,-2.790549517,7.787166119,0.02734375,0.18359375
3,1,0.0078125,74.3316803,35.14185715,33.90945053,31.56878853,0.08320348,91.77626801,-2.790549517,7.787166119,0.02734375,0.22265625
2,1,0.41015625,77.74337006,37.65044403,36.33179092,31.74998856,0.131299481,17.58933067,-0.368209064,0.135577917,0.1015625,0
3,1,0,74.3316803,35.1450386,33.90945053,31.57158852,0.083179131,131.2988892,-2.790549517,7.787166119,0,0.05078125
4,1,0,74.3316803,35.12275314,33.90945053,31.55199242,0.082973644,134.2323303,-2.790549517,7.787166119,0,0.0625
2,1,0,74.3316803,34.85039139,33.90945053,31.3589592,0.07298062,87.60375214,-2.790549517,7.787166119,0.015625,0.6328125
0,1,0,74.3316803,35.14185715,33.90945053,31.56878853,0.082159445,143.7444763,-2.790549517,7.787166119,0,0.00390625
3,1,0.00390625,77.74337006,36.99705887,36.33179092,32.47463608,0.124611899,27.22779274,-0.368209064,0.135577917,0.0078125,0
1,1,0.0078125,77.74337006,36.90604019,36.33179092,33.52377701,0.105243579,33.83646393,-0.368209064,0.135577917,0.15234375,0.2421875
0,1,0,77.74337006,38.01374817,36.33179092,33.33233261,0.094323367,141.9887085,-0.368209064,0.135577917,0.00390625,0.015625
3,1,0.00390625,77.74337006,38.00374985,36.33179092,33.1763916,0.094550192,147.362442,-0.368209064,0.135577917,0.01171875,0.015625
3,1,0.02734375,73.72163391,34.30478668,34.35641479,30.38582039,0.082719244,158.2007599,-2.343585253,5.492391586,0.0625,0.0859375
1,1,0.0546875,76.06695557,37.41830826,36.90245819,32.9439621,0.129718527,33.04558563,0.202458188,0.040989321,0.28125,0
0,1,0.11328125,75.98473358,38.25463486,37.09238815,33.81478119,0.167381898,22.98189163,0.392388165,0.153968468,0.08984375,0
0,1,0.02734375,75.08800507,38.12713623,37.30655289,33.57870865,0.16419211,29.94307518,0.606552899,0.367906392,0,0.00390625
1,1,0.0546875,72.70489502,34.47347641,35.10134888,30.22566414,0.078680895,163.4192505,-1.598651171,2.55568552,0.21484375,0.125
0,1,0.0546875,72.70489502,34.63156128,35.10134888,30.31749916,0.080882996,185.5578308,-1.598651171,2.55568552,0.13671875,0.04296875
0,1,0.0546875,72.70489502,34.66566467,35.10134888,30.34093666,0.081408791,191.1268005,-1.598651171,2.55568552,0.10546875,0.03515625
0,1,0.00390625,71.07811737,35.44156265,36.29325104,30.39145851,0.088287085,70.40229797,-0.40674895,0.165444717,0.1171875,0
